"Date","Price","Open","High","Low","Vol.","Change %"
"30-01-2026","4,745.10","5,410.00","5,480.20","4,700.40","0.57K","-11.39%"
"29-01-2026","5,354.80","5,449.90","5,626.80","5,126.00","570.06K","0.64%"
"28-01-2026","5,321.00","5,198.00","5,433.50","5,175.00","10.33K","4.30%"
"27-01-2026","5,101.40","5,038.30","5,209.50","5,031.00","6.64K","-0.02%"
"26-01-2026","5,102.40","5,028.40","5,124.30","5,005.00","7.98K","1.70%"
"23-01-2026","5,017.00","4,977.80","5,028.30","4,937.70","83.40K","1.37%"
"22-01-2026","4,949.40","4,871.00","4,980.10","4,807.90","68.88K","1.57%"
"21-01-2026","4,873.10","4,804.90","4,925.10","4,793.30","77.33K","1.51%"
"20-01-2026","4,800.80","4,661.00","4,806.00","4,659.50","56.62K","2.78%"
"19-01-2026","4,671.15","4,680.71","4,688.50","4,660.29","145.60K","-0.20%"
"18-01-2026","4,680.64","4,635.80","4,697.71","4,624.80","","1.85%"
"16-01-2026","4,595.40","4,621.60","4,625.50","4,539.10","246.16K","-0.61%"
"15-01-2026","4,623.70","4,635.70","4,637.20","4,584.00","226.48K","-0.26%"
"14-01-2026","4,635.70","4,594.30","4,650.50","4,594.30","306.30K","0.80%"
"13-01-2026","4,599.10","4,610.00","4,644.00","4,576.70","267.45K","-0.34%"
"12-01-2026","4,614.70","4,529.10","4,640.50","4,520.80","307.99K","2.53%"
"09-01-2026","4,500.90","4,489.30","4,527.00","4,461.80","217.95K","0.90%"
"08-01-2026","4,460.70","4,467.10","4,489.30","4,415.00","208.96K","-0.04%"
"07-01-2026","4,462.50","4,505.40","4,512.40","4,432.90","202.78K","-0.75%"
"06-01-2026","4,496.10","4,459.80","4,508.30","4,437.90","176.58K","1.00%"
"05-01-2026","4,451.50","4,368.30","4,467.60","4,354.60","211.71K","2.82%"
"02-01-2026","4,329.60","4,340.00","4,414.80","4,319.70","154.81K","-0.73%"
"01-01-2026","4,361.55","4,332.10","4,364.45","4,332.10","149.56K","-0.56%"
